epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5434,0.65544,1.3985,1.17355,1.21663,0.99861,1,0.995,0.83447,0.99861,1,0.995,0.88777,0.71754,0.82016,1.31274,1.39478,0.000659341,0.000659341,0.000659341
2,50.5994,0.61498,0.83206,0.66598,1.15455,0.8249,0.85714,0.85809,0.50648,0.8427,0.875,0.89079,0.59704,1.16091,1.13602,1.4253,1.81296,0.00131288,0.00131288,0.00131288
3,74.243,0.59931,0.87946,0.56097,1.14579,0.79884,0.92196,0.88397,0.69971,0.78907,0.92857,0.89274,0.77322,0.77392,0.743,1.20955,1.21447,0.00195322,0.00195322,0.00195322
4,97.7127,0.60146,0.8287,0.51025,1.13819,0.60093,0.6454,0.6906,0.35426,0.65537,0.67857,0.75337,0.40487,0.99262,1.18584,1.88062,1.54767,0.0019406,0.0019406,0.0019406
5,121.235,0.58347,0.84099,0.46582,1.12433,0.96494,0.9831,0.99394,0.73768,0.96494,0.9831,0.99394,0.81275,0.93844,0.87486,0.92714,1.52063,0.0019208,0.0019208,0.0019208
6,144.776,0.55578,0.79879,0.42962,1.11617,0.96437,1,0.99412,0.88597,0.96437,1,0.99412,0.86704,0.56392,0.74869,0.52355,1.13636,0.001901,0.001901,0.001901
7,168.397,0.54734,0.77192,0.40428,1.10296,0.9931,1,0.995,0.89255,0.9931,1,0.995,0.8435,0.54257,0.8539,0.51397,1.0514,0.0018812,0.0018812,0.0018812
8,192.077,0.5399,0.78463,0.41144,1.10004,0.99551,1,0.995,0.86224,0.97753,0.98214,0.98492,0.88387,0.57209,0.77102,0.68974,1.11127,0.0018614,0.0018614,0.0018614
9,215.685,0.53659,0.78288,0.3861,1.09327,0.97629,1,0.99447,0.8917,0.95886,0.98214,0.98282,0.87476,0.52093,1.08291,0.48849,1.04264,0.0018416,0.0018416,0.0018416
10,239.262,0.52942,0.72827,0.38545,1.08482,0.99871,1,0.995,0.90485,0.99871,1,0.995,0.87644,0.5602,0.8556,0.51383,1.03898,0.0018218,0.0018218,0.0018218
11,262.769,0.51264,0.7344,0.35928,1.08709,0.99642,1,0.995,0.92236,0.99642,1,0.995,0.91345,0.43958,0.64644,0.46559,0.91131,0.001802,0.001802,0.001802
12,286.234,0.51467,0.7663,0.36028,1.08394,1,0.9983,0.995,0.9448,1,0.9983,0.995,0.93942,0.41571,0.68928,0.38502,0.86655,0.0017822,0.0017822,0.0017822
13,309.887,0.5088,0.72968,0.35617,1.07627,0.99836,1,0.995,0.92451,0.99836,1,0.995,0.8909,0.41272,0.78662,0.45731,0.91939,0.0017624,0.0017624,0.0017624
14,333.59,0.4937,0.73101,0.35097,1.06433,1,0.99684,0.995,0.9067,1,0.99684,0.995,0.93223,0.4564,0.60053,0.47255,0.97417,0.0017426,0.0017426,0.0017426
15,357.179,0.49606,0.72681,0.34413,1.06832,0.99847,1,0.995,0.94725,0.99847,1,0.995,0.93621,0.36839,0.60316,0.35211,0.83896,0.0017228,0.0017228,0.0017228
16,380.724,0.48712,0.71411,0.34237,1.06354,0.99679,1,0.995,0.89947,0.99679,1,0.995,0.88261,0.45248,0.66968,0.52666,0.94849,0.001703,0.001703,0.001703
17,404.36,0.48396,0.71142,0.32527,1.05582,0.99875,1,0.995,0.89494,0.99875,1,0.995,0.91115,0.49963,0.68286,0.37554,0.98703,0.0016832,0.0016832,0.0016832
18,427.73,0.48847,0.70874,0.33502,1.05756,0.99871,1,0.995,0.91855,0.99871,1,0.995,0.92593,0.42262,0.66967,0.38861,0.90306,0.0016634,0.0016634,0.0016634
19,451.168,0.48242,0.70812,0.33203,1.06493,0.98029,0.88814,0.98258,0.9194,0.98029,0.88814,0.98258,0.89756,0.39694,0.58214,0.64232,0.94068,0.0016436,0.0016436,0.0016436
20,474.745,0.48726,0.73228,0.32019,1.06089,0.98024,0.96429,0.98908,0.89567,0.98024,0.96429,0.98908,0.86849,0.45861,0.8037,0.82375,0.93899,0.0016238,0.0016238,0.0016238
21,498.408,0.4791,0.71162,0.33073,1.05764,0.99921,1,0.995,0.93658,0.99921,1,0.995,0.918,0.40885,0.67466,0.37563,0.88368,0.001604,0.001604,0.001604
22,521.883,0.47132,0.70244,0.31538,1.04625,0.99857,1,0.995,0.9154,0.99857,1,0.995,0.92423,0.44669,0.63182,0.45676,0.94262,0.0015842,0.0015842,0.0015842
23,545.395,0.47242,0.70223,0.30984,1.04893,0.99669,1,0.995,0.91321,0.99669,1,0.995,0.93372,0.42227,0.65625,0.39486,0.92254,0.0015644,0.0015644,0.0015644
24,569.062,0.46422,0.70386,0.30562,1.05048,0.99835,0.96429,0.97285,0.91645,0.99835,0.96429,0.97285,0.90494,0.37136,0.60847,0.40959,0.84524,0.0015446,0.0015446,0.0015446
25,592.379,0.45838,0.67746,0.3066,1.04325,0.99867,1,0.995,0.94615,0.99867,1,0.995,0.94619,0.3542,0.55592,0.33309,0.84122,0.0015248,0.0015248,0.0015248
26,615.827,0.45327,0.70204,0.2965,1.04215,0.99898,1,0.995,0.96624,0.99898,1,0.995,0.94422,0.34792,0.62326,0.29461,0.8189,0.001505,0.001505,0.001505
27,639.42,0.46156,0.68544,0.29999,1.03751,0.99871,1,0.995,0.93501,0.99871,1,0.995,0.92715,0.38936,0.60586,0.3345,0.84,0.0014852,0.0014852,0.0014852
28,663.129,0.46164,0.67456,0.29656,1.04154,0.99916,0.98214,0.98514,0.90461,0.99916,0.98214,0.98514,0.92542,0.44874,0.79824,0.60002,0.93253,0.0014654,0.0014654,0.0014654
